,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
92,Roger Donaldson,2.0,Natasha Henstridge,1.0,Ben Kingsley,2.0,Michael Madsen,2.0
93,Kathryn Bigelow,1.0,Ralph Fiennes,2.0,Angela Bassett,1.0,Tom Sizemore,2.0
94,Wesley Strick,2.0,Daryl Hannah,1.0,Keith Carradine,2.0,Moira Kelly,1.0
95,Martha Coolidge,1.0,Patrick Swayze,2.0,Mary Elizabeth Mastrantonio,1.0,Joseph Mazzello,2.0
96,Agnieszka Holland,1.0,Leonardo DiCaprio,2.0,David Thewlis,2.0,Romane Bohringer,1.0
97,Beeban Kidron,1.0,Patrick Swayze,2.0,Wesley Snipes,2.0,John Leguizamo,2.0
98,Geoff Murphy,2.0,Steven Seagal,2.0,Eric Bogosian,2.0,Everett McGill,2.0
99,Alfonso Aráu,2.0,Keanu Reeves,2.0,Aitana Sánchez-Gijón,1.0,Anthony Quinn,2.0
100,Kevin Reynolds,0.0,Kevin Costner,2.0,Chaim Girafi,0.0,Rick Aviles,2.0
101,Milčo Mančevski,0.0,Katrin Cartlidge,1.0,Rade Serbedzija,2.0,Grégoire Colin,2.0
102,Richard Linklater,2.0,Ethan Hawke,2.0,Julie Delpy,1.0,Andrea Eckert,1.0
103,Tamra Davis,1.0,Adam Sandler,2.0,Darren McGavin,2.0,Bridgette Wilson,0.0
104,Herbert Ross,0.0,Whoopi Goldberg,1.0,Mary-Louise Parker,1.0,Drew Barrymore,1.0
105,Kevin Smith,2.0,Brian O'Halloran,2.0,Jeff Anderson,2.0,Jason Mewes,2.0
106,Jeremy Leven,2.0,Johnny Depp,2.0,Marlon Brando,2.0,Faye Dunaway,1.0
107,Barry Levinson,2.0,Michael Douglas,2.0,Demi Moore,1.0,Donald Sutherland,2.0
108,Peter Farrelly,2.0,Jim Carrey,2.0,Jeff Daniels,2.0,Lauren Holly,1.0
109,Garry Marshall,2.0,Dana Delany,1.0,Paul Mercurio,2.0,Rosie O'Donnell,0.0
110,Tim Burton,2.0,Johnny Depp,2.0,Martin Landau,2.0,Sarah Jessica Parker,1.0
111,Kevin Lima,2.0,Bill Farmer,2.0,Jason Marsden,2.0,Rob Paulsen,2.0
112,Brett Leonard,0.0,Jeff Goldblum,2.0,Christine Lahti,1.0,Alicia Silverstone,0.0
113,Mark Lewis,0.0,Ted Manson,2.0,Afemo Omilami,2.0,,
114,Steve James,2.0,William Gates,2.0,Arthur Agee,2.0,Steve James,2.0
115,Peter Jackson,2.0,Melanie Lynskey,1.0,Kate Winslet,1.0,Sarah Peirse,1.0
116,Randall Miller,2.0,Sinbad,2.0,Phil Hartman,2.0,Jeffrey Jones,2.0
117,Steven Brill,2.0,Ben Stiller,2.0,Aaron Schwartz,2.0,Kenan Thompson,2.0
118,Neil Jordan,0.0,Brad Pitt,2.0,Tom Cruise,2.0,Kirsten Dunst,1.0
119,James Ivory,2.0,Nick Nolte,2.0,Greta Scacchi,1.0,Thandie Newton,1.0
120,Ivan Reitman,2.0,Arnold Schwarzenegger,2.0,Danny DeVito,2.0,Emma Thompson,1.0
121,George Lucas,2.0,Mark Hamill,2.0,Harrison Ford,2.0,Carrie Fisher,1.0
122,Edward Zwick,2.0,Brad Pitt,2.0,Anthony Hopkins,2.0,Aidan Quinn,2.0
123,Stephen Gyllenhaal,2.0,Jessica Lange,1.0,Halle Berry,1.0,David Strathairn,2.0
124,Kenneth Branagh,2.0,Robert De Niro,2.0,Kenneth Branagh,2.0,Tom Hulce,2.0
125,Richard Benjamin,2.0,Melanie Griffith,1.0,Ed Harris,2.0,Michael Patrick Carter,2.0
126,Les Mayfield,0.0,Richard Attenborough,2.0,Elizabeth Perkins,1.0,Dylan McDermott,2.0
127,Marc Rocco,2.0,Christian Slater,2.0,Kevin Bacon,2.0,Gary Oldman,2.0
128,Michael Apted,2.0,Jodie Foster,1.0,Liam Neeson,2.0,Natasha Richardson,1.0
129,Oliver Stone,2.0,Woody Harrelson,2.0,Juliette Lewis,1.0,Robert Downey Jr.,2.0
130,Lee Tamahori,2.0,Rena Owen,1.0,Temuera Morrison,2.0,Mamaengaroa Kerr-Bell,0.0
131,Wolfgang Petersen,2.0,Dustin Hoffman,2.0,Rene Russo,1.0,Morgan Freeman,2.0
132,Mira Nair,1.0,Marisa Tomei,1.0,Alfred Molina,2.0,Anjelica Huston,1.0
