,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
2540,José Padilha,2.0,Yvonne Bezerra de Mello,0.0,Sandro do Nascimento,0.0,Rodrigo Pimentel,0.0
2541,Clint Eastwood,2.0,Sean Penn,2.0,Tim Robbins,2.0,Kevin Bacon,2.0
2542,Uwe Boll,2.0,Jonathan Cherry,2.0,Tyron Leitso,2.0,Clint Howard,2.0
2543,Joel Coen,0.0,George Clooney,2.0,Catherine Zeta-Jones,1.0,Edward Herrmann,2.0
2544,Quentin Tarantino,2.0,Uma Thurman,1.0,Lucy Liu,1.0,Vivica A. Fox,1.0
2545,Gary Fleder,2.0,John Cusack,2.0,Gene Hackman,2.0,Dustin Hoffman,2.0
2546,Marcus Nispel,2.0,Jessica Biel,1.0,Jonathan Tucker,2.0,Erica Leerhsen,1.0
2547,Christine Jeffs,1.0,Gwyneth Paltrow,1.0,Daniel Craig,2.0,Jared Harris,2.0
2548,Joel Schumacher,2.0,Cate Blanchett,1.0,Gerard McSorley,0.0,Ciarán Hinds,2.0
2549,Mike Tollin,2.0,Cuba Gooding Jr.,2.0,Ed Harris,2.0,Alfre Woodard,1.0
2550,David Zucker,2.0,Pamela Anderson,1.0,Jenny McCarthy,1.0,Marny Eng,1.0
2551,Gus Van Sant,2.0,Alex Frost,2.0,Eric Deulen,2.0,John Robinson,2.0
2552,Leonard Nimoy,2.0,Patricia Arquette,1.0,Joseph Gordon-Levitt,2.0,Armin Mueller-Stahl,2.0
2553,Michael Hoffman,2.0,Jason Gedrick,2.0,Tracy Pollan,1.0,Kiefer Sutherland,2.0
2554,Mark Rucker,0.0,Charles Busch,2.0,Frances Conroy,1.0,Philip Baker Hall,2.0
2555,Billy Ray,2.0,Hayden Christensen,2.0,Peter Sarsgaard,2.0,Chloë Sevigny,1.0
2556,Lilly Wachowski,1.0,Keanu Reeves,2.0,Laurence Fishburne,2.0,Carrie-Anne Moss,1.0
2557,Jon Favreau,2.0,Will Ferrell,2.0,James Caan,2.0,Zooey Deschanel,1.0
2558,Richard Curtis,2.0,Keira Knightley,1.0,Heike Makatsch,1.0,Emma Thompson,1.0
2559,Joe Dante,2.0,Brendan Fraser,2.0,Jenna Elfman,1.0,Steve Martin,2.0
2560,Peter Weir,2.0,Russell Crowe,2.0,Paul Bettany,2.0,James D'Arcy,2.0
2561,Lauren Lazin,0.0,Tupac Amaru Shakur,2.0,,,,
2562,Mathieu Kassovitz,2.0,Halle Berry,1.0,Robert Downey Jr.,2.0,Charles S. Dutton,2.0
2563,Alejandro González Iñárritu,2.0,Sean Penn,2.0,Naomi Watts,1.0,Benicio del Toro,2.0
2564,Terry Zwigoff,0.0,Billy Bob Thornton,2.0,Tony Cox,2.0,Brett Kelly,2.0
2565,Rob Minkoff,2.0,Eddie Murphy,2.0,Terence Stamp,2.0,Nathaniel Parker,2.0
2566,Richard Donner,2.0,Paul Walker,2.0,Frances O'Connor,1.0,Gerard Butler,2.0
2567,Louis Malle,2.0,Jeremy Irons,2.0,Juliette Binoche,1.0,Miranda Richardson,1.0
2568,Sam Raimi,2.0,Liam Neeson,2.0,Frances McDormand,1.0,Colin Friels,2.0
2569,Stephen Norrington,2.0,Ely Pouget,1.0,Brad Dourif,2.0,William Hootkins,2.0
2570,Phil Joanou,2.0,Richard Gere,2.0,Kim Basinger,1.0,Uma Thurman,1.0
2571,Mario Van Peebles,2.0,Wesley Snipes,2.0,Ice-T,2.0,Allen Payne,2.0
2572,John Badham,2.0,Matthew Broderick,2.0,Dabney Coleman,2.0,Ally Sheedy,1.0
2573,Charles Brabin,2.0,Ramon Novarro,2.0,Francis X. Bushman,2.0,May McAvoy,1.0
2574,Michael Apted,2.0,William Hurt,2.0,Lee Marvin,2.0,Brian Dennehy,2.0
2575,Hugh Hudson,2.0,Christopher Lambert,2.0,Andie MacDowell,1.0,Ralph Richardson,2.0
2576,Woody Allen,2.0,Woody Allen,2.0,Michael Caine,2.0,Mia Farrow,0.0
2577,John Badham,2.0,Michael J. Fox,2.0,James Woods,2.0,Stephen Lang,2.0
2578,Russell Mulcahy,2.0,Christopher Lambert,2.0,Sean Connery,2.0,Virginia Madsen,1.0
2579,Michael Lehmann,2.0,Bruce Willis,2.0,Danny Aiello,2.0,Andie MacDowell,1.0
2580,Ivan Reitman,2.0,Arnold Schwarzenegger,2.0,Penelope Ann Miller,1.0,Pamela Reed,1.0
2581,Tony Scott,2.0,Bruce Willis,2.0,Damon Wayans,2.0,Chelsea Field,1.0
2582,George Miller,2.0,Susan Sarandon,1.0,Nick Nolte,2.0,Peter Ustinov,2.0
2583,James Orr,2.0,Jim Belushi,2.0,Michael Caine,2.0,Linda Hamilton,1.0
2584,Chris Columbus,2.0,John Candy,2.0,Maureen O'Hara,1.0,Ally Sheedy,1.0
2585,Menahem Golan,2.0,Sylvester Stallone,2.0,Robert Loggia,2.0,Rick Zumwalt,2.0
2586,Kevin Hooks,2.0,Wesley Snipes,2.0,Bruce Payne,2.0,Tom Sizemore,2.0
2587,Alan J. Pakula,2.0,Harrison Ford,2.0,Brian Dennehy,2.0,Raúl Juliá,2.0
2588,Jonathan Kaplan,2.0,Matthew Broderick,2.0,Helen Hunt,1.0,Willie,0.0
2589,Jocelyn Moorhouse,1.0,Hugo Weaving,2.0,Russell Crowe,2.0,Geneviève Picot,0.0
2590,Nadia Tass,0.0,Martin Short,2.0,Danny Glover,2.0,Harry Shearer,2.0
2591,Carl Reiner,2.0,Mark Harmon,2.0,Kirstie Alley,1.0,Courtney Thorne-Smith,1.0
2592,Richard Donner,2.0,Elijah Wood,2.0,Lorraine Bracco,0.0,Adam Baldwin,2.0
2593,Tony Scott,2.0,Kevin Costner,2.0,Anthony Quinn,2.0,Madeleine Stowe,1.0
2594,Herbert Ross,0.0,Michael J. Fox,2.0,Helen Slater,1.0,Richard Jordan,2.0
2595,Walter Hill,2.0,Michael Paré,2.0,Diane Lane,1.0,Rick Moranis,2.0
2596,William Friedkin,0.0,William Petersen,2.0,Willem Dafoe,2.0,John Pankow,2.0
2597,George Gallo,2.0,Nicolas Cage,2.0,Jon Lovitz,2.0,Dana Carvey,2.0
2598,David Lynch,2.0,Nicolas Cage,2.0,Laura Dern,1.0,Willem Dafoe,2.0
2599,Nicolas Roeg,2.0,Anjelica Huston,1.0,Mai Zetterling,1.0,Jasen Fisher,2.0
2600,George Miller,2.0,Jack Nicholson,2.0,Cher,1.0,Susan Sarandon,1.0
2601,Michael Cimino,2.0,Mickey Rourke,2.0,John Lone,2.0,Ariane,1.0
2602,John Ford,0.0,Katharine Hepburn,1.0,Fredric March,2.0,Florence Eldridge,1.0
2603,George Stevens,2.0,Fred Astaire,2.0,Ginger Rogers,1.0,Victor Moore,2.0
2604,Norman Jewison,2.0,Ted Neeley,2.0,Carl Anderson,2.0,Yvonne Elliman,1.0
2605,John Frankenheimer,2.0,Burt Lancaster,2.0,Karl Malden,2.0,Thelma Ritter,1.0
2606,D.W. Griffith,2.0,Lillian Gish,1.0,Mae Marsh,1.0,Henry B. Walthall,2.0
2607,Howard Hawks,0.0,John Wayne,2.0,Montgomery Clift,2.0,Joanne Dru,1.0
2608,John Ford,0.0,Claire Trevor,1.0,John Wayne,2.0,Andy Devine,2.0
2609,Blake Edwards,2.0,Peter Sellers,2.0,Elke Sommer,1.0,George Sanders,2.0
2610,Peter Yates,2.0,Steve McQueen,2.0,Robert Vaughn,2.0,Jacqueline Bisset,1.0
2611,Lloyd Bacon,2.0,Warner Baxter,2.0,Bebe Daniels,1.0,George Brent,2.0
2612,Wesley Ruggles,2.0,Mae West,0.0,Cary Grant,2.0,Gregory Ratoff,2.0
2613,David Lean,2.0,Judy Davis,1.0,Alec Guinness,2.0,Peggy Ashcroft,1.0
2614,Richard Brooks,2.0,Diane Keaton,1.0,Tuesday Weld,1.0,William Atherton,2.0
2615,Tom Mankiewicz,2.0,Dan Aykroyd,2.0,Tom Hanks,2.0,Christopher Plummer,2.0
2616,Steven Spielberg,2.0,Dan Aykroyd,2.0,Ned Beatty,2.0,John Belushi,2.0
2617,Mark Jones,2.0,Warwick Davis,2.0,Jennifer Aniston,1.0,Ken Olandt,2.0
2618,Geoff Burrowes,0.0,Patrick Dempsey,2.0,Kelly Preston,1.0,Ken Pogue,2.0
2619,Bille Woodruff,0.0,Jessica Alba,1.0,Mekhi Phifer,2.0,Joy Bryant,1.0
2620,Edward Zwick,2.0,Tom Cruise,2.0,Ken Watanabe,2.0,William Atherton,2.0
2621,Tim Burton,2.0,Ewan McGregor,2.0,Albert Finney,0.0,Billy Crudup,2.0
2622,Nancy Meyers,1.0,Jack Nicholson,2.0,Diane Keaton,1.0,Keanu Reeves,2.0
2623,Bobby Farrelly,2.0,Matt Damon,2.0,Greg Kinnear,2.0,Eva Mendes,1.0
2624,Peter Webber,2.0,Scarlett Johansson,1.0,Colin Firth,2.0,Cillian Murphy,2.0
2625,Peter Jackson,2.0,Elijah Wood,2.0,Ian McKellen,2.0,Viggo Mortensen,2.0
2626,Nigel Cole,2.0,Helen Mirren,1.0,Julie Walters,1.0,John Alderton,2.0
2627,Vadim Perelman,0.0,Jennifer Connelly,1.0,Ben Kingsley,2.0,Ron Eldard,2.0
2628,Patty Jenkins,1.0,Charlize Theron,1.0,Christina Ricci,1.0,Bruce Dern,1.0
2629,Shawn Levy,2.0,Steve Martin,2.0,Bonnie Hunt,1.0,Piper Perabo,1.0
2630,Anthony Minghella,2.0,Jude Law,2.0,Nicole Kidman,1.0,Renée Zellweger,1.0
2631,John Woo,2.0,Ben Affleck,2.0,Aaron Eckhart,2.0,Uma Thurman,1.0
2632,Robert Altman,2.0,Neve Campbell,1.0,Malcolm McDowell,2.0,James Franco,2.0
2633,John Hamburg,2.0,Ben Stiller,2.0,Jennifer Aniston,1.0,Philip Seymour Hoffman,2.0
2634,Joseph Kahn,2.0,Martin Henderson,2.0,Ice Cube,2.0,Monet Mazur,1.0
2635,Jack Clayton,2.0,Robert Redford,2.0,Mia Farrow,0.0,Bruce Dern,1.0
2636,Bill Fishman,2.0,David Johansen,2.0,John C. McGinley,2.0,Fran Drescher,1.0
2637,Sheldon Lettich,2.0,Mark Dacascos,2.0,Geoffrey Lewis,2.0,Stacey Travis,1.0
2638,Renny Harlin,2.0,Andrew Dice Clay,0.0,Wayne Newton,2.0,Priscilla Presley,1.0
2639,James Toback,2.0,Molly Ringwald,0.0,Robert Downey Jr.,2.0,Dennis Hopper,2.0
2640,Howard Hawks,0.0,Humphrey Bogart,2.0,Walter Brennan,2.0,Lauren Bacall,1.0
2641,Ralph Bakshi,2.0,Kim Basinger,1.0,Gabriel Byrne,2.0,Brad Pitt,2.0
2642,Ramón Menéndez,2.0,John Cusack,2.0,Debi Mazar,1.0,Michael Madsen,2.0
2643,Phil Karlson,2.0,Dean Martin,2.0,Stella Stevens,1.0,Daliah Lavi,1.0
2644,Eric Bress,2.0,Ashton Kutcher,2.0,Melora Walters,1.0,Amy Smart,1.0
2645,Robert Luketic,2.0,Josh Duhamel,2.0,Kate Bosworth,1.0,Topher Grace,2.0
2646,Kevin Macdonald,2.0,Brendan Mackey,2.0,Nicholas Aaron,0.0,Richard Hawking,2.0
2647,George Armitage,0.0,Owen Wilson,2.0,Morgan Freeman,2.0,Gary Sinise,2.0
2648,C. Jay Cox,2.0,Steve Sandvoss,2.0,Wes Ramsey,2.0,Jacqueline Bisset,1.0
2649,Kevin Rodney Sullivan,2.0,Ice Cube,2.0,Cedric the Entertainer,2.0,Sean Patrick Thomas,2.0
2650,Bart Freundlich,2.0,Kristen Stewart,1.0,Corbin Bleu,2.0,Max Thieriot,2.0
2651,Gavin O'Connor,2.0,Kurt Russell,2.0,Patricia Clarkson,1.0,Noah Emmerich,2.0
2652,Bernardo Bertolucci,2.0,Michael Pitt,2.0,Eva Green,1.0,Louis Garrel,2.0
2653,Rory Kelly,0.0,Meg Tilly,1.0,Craig Sheffer,2.0,Eric Stoltz,2.0
2654,Sidney Poitier,2.0,Sidney Poitier,2.0,Bill Cosby,2.0,Calvin Lockhart,2.0
2655,Catherine Hardwicke,1.0,Evan Rachel Wood,1.0,Nikki Reed,1.0,Vanessa Hudgens,1.0
2656,Erich von Stroheim,0.0,Rudolph Christians,2.0,Miss DuPont,0.0,Maude George,0.0
2657,Willard Huyck,2.0,Dudley Moore,2.0,Eddie Murphy,2.0,Kate Capshaw,1.0
2658,Peter Segal,2.0,Adam Sandler,2.0,Drew Barrymore,1.0,Rob Schneider,2.0
2659,Donald Petrie,2.0,Ray Romano,2.0,Gene Hackman,2.0,Marcia Gay Harden,1.0
2660,Richard C. Sarafian,0.0,Barry Newman,2.0,Cleavon Little,2.0,Dean Jagger,0.0
2661,Bob Rafelson,2.0,Debra Winger,1.0,Theresa Russell,1.0,Sami Frey,2.0
2662,Charles S. Dutton,2.0,Meg Ryan,1.0,Tony Shalhoub,2.0,Joe Cortese,2.0
2663,Sara Sugarman,1.0,Lindsay Lohan,1.0,Adam Garcia,2.0,Glenne Headly,1.0
2664,Jeff Schaffer,2.0,Scott Mechlowicz,2.0,Jacob Pitts,2.0,Michelle Trachtenberg,1.0
2665,Mel Gibson,2.0,Jim Caviezel,2.0,Maia Morgenstern,1.0,Monica Bellucci,1.0
2666,Jay Chandrasekhar,2.0,Kevin Heffernan,2.0,Jay Chandrasekhar,2.0,Paul Soter,2.0
2667,Guy Ferland,2.0,Diego Luna,2.0,Romola Garai,0.0,Sela Ward,1.0
2668,Joe Johnston,2.0,Viggo Mortensen,2.0,Zuleikha Robinson,1.0,Omar Sharif,0.0
2669,Todd Phillips,2.0,Ben Stiller,2.0,Owen Wilson,2.0,Snoop Dogg,2.0
2670,Kevin Allen,2.0,Frankie Muniz,2.0,Anthony Anderson,2.0,Hannah Spearritt,1.0
2671,Luke Greenfield,2.0,Emile Hirsch,2.0,Elisha Cuthbert,1.0,Timothy Olyphant,2.0
2672,David Koepp,2.0,Johnny Depp,2.0,John Turturro,2.0,Maria Bello,1.0
2673,David Mamet,2.0,Val Kilmer,2.0,Derek Luke,2.0,William H. Macy,2.0
2674,Paul Flaherty,2.0,Martin Short,2.0,Charles Grodin,2.0,Mary Steenburgen,1.0
2675,John McNaughton,2.0,Robert De Niro,2.0,Uma Thurman,1.0,Bill Murray,2.0
2676,Zack Snyder,2.0,Sarah Polley,1.0,Ving Rhames,2.0,Jake Weber,2.0
2677,Michel Gondry,2.0,Jim Carrey,2.0,Kate Winslet,1.0,Kirsten Dunst,1.0
2678,D.J. Caruso,2.0,Angelina Jolie,1.0,Ethan Hawke,2.0,Kiefer Sutherland,2.0
2679,John Crowley,2.0,Colin Farrell,2.0,Colm Meaney,2.0,Kelly Macdonald,1.0
2680,Kevin Smith,2.0,Ben Affleck,2.0,Raquel Castro,1.0,Liv Tyler,1.0
2681,Ernest R. Dickerson,2.0,DMX,2.0,Michael Ealy,2.0,Drew Sidora,1.0
2682,Raja Gosnell,2.0,Freddie Prinze Jr.,2.0,Sarah Michelle Gellar,1.0,Matthew Lillard,2.0
2683,Gregor Jordan,2.0,Heath Ledger,2.0,Orlando Bloom,2.0,Geoffrey Rush,2.0
2684,Guillermo del Toro,2.0,Ron Perlman,2.0,Selma Blair,1.0,Rupert Evans,2.0
2685,Will Finn,2.0,Roseanne Barr,1.0,Judi Dench,1.0,Jennifer Tilly,1.0
2686,Kevin Bray,2.0,Dwayne Johnson,2.0,Johnny Knoxville,2.0,Neal McDonough,2.0
2687,Matthew Ryan Hoge,0.0,Don Cheadle,2.0,Ryan Gosling,2.0,Chris Klein,2.0
2688,Christopher Erskin,2.0,Cedric the Entertainer,2.0,Vanessa Williams,1.0,Steve Harvey,2.0
2689,Tommy O'Haver,2.0,Anne Hathaway,1.0,Hugh Dancy,2.0,Cary Elwes,2.0
2690,Howard Deutch,2.0,Bruce Willis,2.0,Matthew Perry,2.0,Amanda Peet,1.0
2691,Cecil B. DeMille,2.0,Charlton Heston,2.0,Yul Brynner,2.0,Anne Baxter,1.0
2692,Andrew V. McLaglen,2.0,James Stewart,2.0,Dean Martin,2.0,George Kennedy,2.0
2693,Hal Ashby,2.0,Michael O'Keefe,2.0,Rebecca De Mornay,1.0,Randy Quaid,2.0
2694,Ken Annakin,2.0,Stuart Whitman,2.0,Sarah Miles,1.0,James Fox,2.0
2695,Sam Peckinpah,0.0,Rutger Hauer,2.0,John Hurt,2.0,Craig T. Nelson,2.0
2696,Martin Scorsese,2.0,Griffin Dunne,0.0,Rosanna Arquette,1.0,Verna Bloom,1.0
2697,Michael Lembeck,2.0,Nia Vardalos,1.0,Toni Collette,1.0,David Duchovny,2.0
2698,Quentin Tarantino,2.0,Uma Thurman,1.0,David Carradine,2.0,Daryl Hannah,1.0
2699,David Mackenzie,2.0,Ewan McGregor,2.0,Tilda Swinton,1.0,Peter Mullan,2.0
2700,Gary Winick,2.0,Jennifer Garner,1.0,Mark Ruffalo,2.0,Judy Greer,1.0
2701,Tony Scott,2.0,Denzel Washington,2.0,Dakota Fanning,1.0,Marc Anthony,2.0
2702,Nick Hamm,2.0,Greg Kinnear,2.0,Rebecca Romijn,1.0,Robert De Niro,2.0
2703,Peter Howitt,2.0,Pierce Brosnan,2.0,Julianne Moore,1.0,Michael Sheen,2.0
2704,Mark Waters,2.0,Lindsay Lohan,1.0,Rachel McAdams,1.0,Tim Meadows,2.0
2705,Hugh Wilson,2.0,Harry Connick Jr.,2.0,Shawn Salinas,0.0,Michelle Johnson,1.0
2706,Stephen Sommers,2.0,Hugh Jackman,2.0,Kate Beckinsale,1.0,Richard Roxburgh,2.0
2707,Wolfgang Petersen,2.0,Brad Pitt,2.0,Orlando Bloom,2.0,Eric Bana,2.0
2708,Jim Jarmusch,0.0,Roberto Benigni,2.0,Steven Wright,2.0,Joie Lee,1.0
2709,Bruce McDonald,2.0,Ryan Rajendra Black,2.0,Adam Beach,2.0,Jennifer Podemski,0.0
2710,Jim Gillespie,2.0,Sylvester Stallone,2.0,Courtney B. Vance,2.0,Tom Berenger,2.0
2711,Wolfgang Petersen,2.0,Dennis Quaid,2.0,"Louis Gossett, Jr.",2.0,Brion James,2.0
2712,Robert Clouse,2.0,Bruce Lee,2.0,Sammo Hung,2.0,Jackie Chan,2.0
2713,Philip Kaufman,2.0,Fred Ward,2.0,Uma Thurman,1.0,Maria de Medeiros,1.0
2714,Lewis Gilbert,2.0,Sean Connery,2.0,Akiko Wakabayashi,1.0,Karin Dor,1.0
2715,John Glen,2.0,Roger Moore,2.0,Maud Adams,1.0,Louis Jourdan,2.0
2716,Irvin Kershner,2.0,Sean Connery,2.0,Kim Basinger,1.0,Klaus Maria Brandauer,2.0
2717,Luis Mandoki,0.0,Susan Sarandon,1.0,James Spader,2.0,Kathy Bates,1.0
2718,Donna Deitch,1.0,Helen Shaver,1.0,Patricia Charbonneau,1.0,Audra Lindley,1.0
2719,Brian De Palma,2.0,Craig Wasson,2.0,Melanie Griffith,1.0,Gregg Henry,2.0
2720,Stuart Millar,2.0,John Wayne,2.0,Katharine Hepburn,1.0,Anthony Zerbe,2.0
2721,Arthur Penn,2.0,Anne Bancroft,1.0,Patty Duke,1.0,Victor Jory,2.0
2722,Nick Broomfield,2.0,Spalding Gray,2.0,,,,
2723,Robert Mandel,2.0,Brendan Fraser,2.0,Matt Damon,2.0,Chris O'Donnell,2.0
2724,Brian De Palma,2.0,John Lithgow,2.0,Lolita Davidovich,1.0,Steven Bauer,2.0
2725,Peter Bogdanovich,2.0,Carol Burnett,0.0,Michael Caine,2.0,Denholm Elliott,2.0
2726,James Bridges,2.0,Jane Fonda,1.0,Jack Lemmon,2.0,Michael Douglas,2.0
2727,Leo McCarey,2.0,Bing Crosby,2.0,Ingrid Bergman,1.0,Henry Travers,2.0
2728,Menahem Golan,2.0,Chuck Norris,2.0,Lee Marvin,2.0,Shelley Winters,1.0
2729,Ted Post,2.0,Chuck Norris,2.0,Anne Archer,1.0,Lloyd Haynes,0.0
2730,Steven Seagal,2.0,Steven Seagal,2.0,Michael Caine,2.0,Joan Chen,1.0
2731,Joe Dante,2.0,John Goodman,2.0,Cathy Moriarty,1.0,Simon Fenton,2.0
2732,Glen Goei,2.0,Adrian Pang,2.0,Medaline Tan,1.0,Pierre Png,2.0
2733,Joe Dante,2.0,Ethan Hawke,2.0,River Phoenix,2.0,Bobby Fite,0.0
2734,Luis Llosa,2.0,Tom Berenger,2.0,Billy Zane,2.0,J.T. Walsh,2.0
2735,Phil Roman,2.0,Arrin Skelley,2.0,Laura Planting,1.0,Casey Carlson,0.0
2736,Mike Figgis,2.0,Richard Gere,2.0,Andy García,2.0,Laurie Metcalf,1.0
2737,Walter Hill,2.0,Michael Beck,0.0,James Remar,2.0,David Patrick Kelly,2.0
2738,Sergey Bondarchuk,2.0,Rod Steiger,2.0,Christopher Plummer,2.0,Orson Welles,2.0
2739,Michael Wadleigh,2.0,Joe Cocker,2.0,Richie Havens,2.0,Joan Baez,1.0
2740,Sam Peckinpah,0.0,James Coburn,2.0,Kris Kristofferson,2.0,Richard Jaeckel,2.0
2741,Sam Peckinpah,0.0,Jason Robards,2.0,Stella Stevens,1.0,David Warner,2.0
2742,Sean Penn,2.0,David Morse,2.0,Viggo Mortensen,2.0,Valeria Golino,1.0
2743,Woody Allen,2.0,Woody Allen,2.0,Mia Farrow,0.0,John Buckwalter,2.0
2744,John Huston,2.0,Richard Burton,2.0,Ava Gardner,1.0,Deborah Kerr,1.0
2745,Clive Barker,2.0,Craig Sheffer,2.0,Anne Bobby,1.0,David Cronenberg,2.0
2746,Edward Lachman,2.0,James Ransone,2.0,Tiffany Limos,1.0,Maeve Quinlan,1.0
2747,Richard Attenborough,2.0,Dirk Bogarde,2.0,James Caan,2.0,Michael Caine,2.0
2748,Woody Allen,2.0,Woody Allen,2.0,Mia Farrow,0.0,Nick Apollo Forte,2.0
2749,Stuart Gordon,2.0,Jeffrey Combs,2.0,Barbara Crampton,1.0,Ken Foree,2.0
2750,Stuart Gordon,2.0,Dennis Hopper,2.0,Stephen Dorff,2.0,Debi Mazar,1.0
2751,Jim Wynorski,2.0,Traci Lords,1.0,Arthur Roberts,2.0,Lenny Juliano,2.0
2752,Paul Bartel,2.0,David Carradine,2.0,Simone Griffeth,1.0,Sylvester Stallone,2.0
2753,Roger Corman,2.0,Ray Milland,2.0,Hazel Court,1.0,Richard Ney,2.0
2754,Dennis Dugan,2.0,Mel Smith,2.0,Bob Nelson,0.0,John Turturro,2.0
2755,Martin Scorsese,2.0,Harvey Keitel,2.0,Robert De Niro,2.0,David Proval,2.0
2756,John Irvin,2.0,Anthony Barrile,2.0,Michael Boatman,2.0,Don Cheadle,2.0
2757,Jack Smight,2.0,Paul Newman,2.0,Lauren Bacall,1.0,Julie Harris,1.0
2758,David Jacobson,2.0,Jeremy Renner,2.0,Bruce Davison,2.0,Artel Great,0.0
2759,John Sturges,2.0,Spencer Tracy,2.0,Robert Ryan,2.0,Anne Francis,1.0
2760,Aaron Norris,2.0,Chuck Norris,2.0,Billy Drago,2.0,John P. Ryan,2.0
2761,Matthew Robbins,2.0,Hume Cronyn,2.0,Jessica Tandy,1.0,Frank McRae,2.0
2762,Russ Meyer,0.0,Dolly Read,0.0,Cynthia Myers,0.0,Marcia McBroom,0.0
2763,Hector Babenco,2.0,Tom Berenger,2.0,John Lithgow,2.0,Daryl Hannah,1.0
2764,Rouben Mamoulian,2.0,Greta Garbo,1.0,John Gilbert,2.0,Ian Keith,2.0
2765,Hal Needham,2.0,Burt Reynolds,2.0,Robert Klein,2.0,Adam West,2.0
2766,Albert Magnoli,0.0,Prince,2.0,Apollonia Kotero,1.0,Morris Day,2.0
2767,Mark Rydell,2.0,John Wayne,2.0,Roscoe Lee Browne,2.0,Bruce Dern,1.0
2768,Edward Dmytryk,0.0,Humphrey Bogart,2.0,Van Johnson,2.0,Fred MacMurray,2.0
2769,Don Siegel,2.0,Clint Eastwood,2.0,Patrick McGoohan,2.0,Roberts Blossom,2.0
2770,Andrew Adamson,2.0,Mike Myers,2.0,Eddie Murphy,2.0,Cameron Diaz,1.0
2771,Roland Emmerich,2.0,Dennis Quaid,2.0,Jake Gyllenhaal,2.0,Emmy Rossum,1.0
2772,Garry Marshall,2.0,Kate Hudson,1.0,John Corbett,2.0,Joan Cusack,1.0
2773,Jessy Terrero,0.0,Tom Arnold,2.0,Kevin Hart,2.0,Method Man,2.0
2774,Mario Van Peebles,2.0,Mario Van Peebles,2.0,Joy Bryant,1.0,Khleo Thomas,2.0
2775,Roger Michell,2.0,Anne Reid,1.0,Daniel Craig,2.0,Peter Vaughan,2.0
2776,Alfonso Cuarón,2.0,Daniel Radcliffe,2.0,Rupert Grint,2.0,Emma Watson,1.0
2777,Renny Harlin,2.0,LL Cool J,2.0,Jonny Lee Miller,2.0,Kathryn Morris,1.0
2778,David Twohy,0.0,Vin Diesel,2.0,Thandie Newton,1.0,Karl Urban,2.0
2779,Peter Hewitt,2.0,Bill Murray,2.0,Breckin Meyer,2.0,Jennifer Love Hewitt,1.0
2780,Jared Hess,2.0,Jon Heder,2.0,Aaron Ruell,2.0,Jon Gries,2.0
2781,Roland Joffé,0.0,Patrick Swayze,2.0,Om Puri,2.0,Pauline Collins,1.0
2782,Randa Haines,1.0,William Hurt,2.0,Christine Lahti,1.0,Elizabeth Perkins,1.0
2783,Darrell James Roodt,0.0,Patrick Swayze,2.0,Halle Berry,1.0,Sabrina Lloyd,1.0
2784,Busby Berkeley,2.0,Judy Garland,1.0,Gene Kelly,2.0,George Murphy,2.0
2785,Frank Perry,2.0,Shelley Long,1.0,Judith Ivey,1.0,Gabriel Byrne,2.0
2786,Alan Metter,2.0,George Gaynes,2.0,G. W. Bailey,2.0,Leslie Easterbrook,1.0
2787,Robert Wise,2.0,Julie Andrews,1.0,Richard Crenna,2.0,Michael Craig,2.0
2788,Martin Ritt,2.0,Sean Connery,2.0,Samantha Eggar,1.0,Richard Harris,2.0
2789,Michael Lehmann,2.0,Ed Begley Jr.,2.0,Stockard Channing,1.0,Dabney Coleman,2.0
2790,Allan Dwan,2.0,John Wayne,2.0,John Agar,2.0,Adele Mara,1.0
2791,Morgan Spurlock,2.0,Morgan Spurlock,2.0,Daryl Isaacs,0.0,Lisa Ganjhu,0.0
2792,Tom Laughlin,2.0,Tom Laughlin,2.0,Elizabeth James,0.0,Jeremy Slate,2.0
2793,Norman Jewison,2.0,Steve McQueen,2.0,Edward G. Robinson,2.0,Ann-Margret,1.0
2794,Robert Harmon,2.0,C. Thomas Howell,2.0,Rutger Hauer,2.0,Jennifer Jason Leigh,1.0
2795,George Sidney,2.0,Howard Keel,2.0,Kathryn Grayson,1.0,Ava Gardner,1.0
2796,Frank Coraci,2.0,Jackie Chan,2.0,Steve Coogan,2.0,Cécile de France,1.0
2797,Mike Hodges,0.0,Clive Owen,2.0,Jonathan Rhys Meyers,2.0,Charlotte Rampling,1.0
2798,Rawson Marshall Thurber,0.0,Vince Vaughn,2.0,Christine Taylor,1.0,Ben Stiller,2.0
2799,Steven Spielberg,2.0,Tom Hanks,2.0,Catherine Zeta-Jones,1.0,Stanley Tucci,2.0
2800,Keenen Ivory Wayans,2.0,Shawn Wayans,2.0,Marlon Wayans,2.0,Jaime King,1.0
2801,Nick Cassavetes,2.0,Rachel McAdams,1.0,Ryan Gosling,2.0,Gena Rowlands,1.0
2802,Jean-Jacques Annaud,2.0,Maï Anh Le,1.0,Guy Pearce,2.0,Oanh Nguyen,0.0
2803,Paul Mazursky,2.0,Natalie Wood,1.0,Robert Culp,2.0,Elliott Gould,2.0
2804,Kevin Reynolds,0.0,Jason Scott Lee,2.0,Esai Morales,2.0,Sandrine Holt,1.0
