,adjusted_revenue
919,47558408.24
920,30548726.34
921,7083667.49
922,197263854.83
923,151987613.08
924,18221515.01
925,34022830.67
926,73851667.32
927,40109049.19
928,98122226.3
929,55323240.02
930,16565013.65
931,84895694.95
932,57977547.77
933,57977547.77
934,25198152.31
935,18666706.5
936,118705925.88
937,164427281.45
938,37271280.71
939,34468213.8
940,766309.33
941,27448102.72
942,1169029.82
943,66881211.46
944,110485774.42
945,213852822.88
946,44536607.04
947,39618687.47
948,40666030.64
949,77952752.05
950,17780695.16
951,43880887.86
952,86557427.9
953,39123118.85
954,15262044.86
955,424916957.33
956,452395687.58
957,367490452.98
958,187204.65
959,62571295.2
960,109061503.16
961,3892929.84
962,3523402.84
963,49861539.79
964,37918449.45
965,30904709.78
966,99429845.62
967,258276463.16
968,3305067.1
969,45609708.24
970,107493792.44
971,949182.32
972,85408688.29
973,111956473.39
974,95312725.77
975,71239176.05
976,77375875.53
977,76196489.47
978,70198925.91
979,4221540.41
980,21906078.89
981,30625467.42
982,35901607.36
983,19402238.17
984,9701469.45
985,175443886.71
986,279680147.78
987,123531912.26
988,1584606.57
989,60152145.73
990,214942494.2
991,18078735.63
992,6321497.63
993,12958649.34
994,7691742.77
995,376908235.83
996,151111780.32
997,546241154.12
998,35167460.63
999,82825068.24
1000,10536608.42
1001,62418927.34
1002,55737368.44
1003,135801916.95
1004,69504076.36
1005,15829424.03
1006,81881592.93
1007,123006309.6
1008,347240502.17
1009,344910610.8
1010,126660305.11
1011,97464473.29
1012,60495907.67
1013,40440059.26
1014,22871885.54
1015,103955254.1
1016,15703867.49
1017,13906262.89
1018,14884482.13
1019,177439461.11
1020,328733951.45
1021,25707749.42
1022,435054181.85
1023,54029484.07
1024,94335884.49
1025,684331121.79
1026,318053210.81
1027,391781504.85
1028,220455450.33
1029,204240143.42
1030,194348674.74
1031,51870321.04
1032,675939589.2
1033,685826813.18
1034,684498067.37
1035,225023544.5
1036,33359948.35
1037,204097836.93
1038,30009460.53
1039,214250931.01
1040,257429191.26
1041,77028360.42
1042,141021204.71
1043,377166363.63
1044,1825818.97
1045,147555295.04
1046,60575006.53
1047,304192741.68
1048,30904363.62
1049,9666411.79
1050,5969902.55
1051,20617106.37
1052,84903461.15
1053,16052270.94
1054,24847520.47
1055,76923347.86
1056,35662067.96
1057,153357187.5
1058,17949802.92
1059,10816395.09
1060,307419.4
1061,160188508.13
1062,15201927.4
1063,20103229.9
1064,172657224.7
1065,92552415.51
1066,734024695.35
1067,496643007.57
1068,116955101.04
1069,11599895.13
1070,95551945.64
1071,26724931.92
1072,151812993.23
1073,237837174.97
1074,6473230.38
1075,59248114.56
1076,174935134.19
1077,54225912.65
1078,4527623.21
1079,18876471.12
1080,10083564.09
1081,142177008.75
1082,113634513.05
1083,29858854.66
1084,11845466.71
1085,52174047.84
1086,53585129.79
1087,634356837.19
1088,233571658.59
1089,121330564.21
1090,576474731.83
1091,107667185.68
1092,235331077.49
1093,119939325.77
1094,48804644.35
1095,56854061.35
1096,74772540.3
1097,395912176.07
1098,43949065.19
1099,260291993.22
1100,22302755.08
1101,111692136.23
1102,5860869.01
