,Unnamed: 0,id,title,month,year,adjusted_budget,director,actor1,actor2,actor3,original_language,production_companies,production_countries,runtime,popularity,vote_average,vote_count,adjusted_revenue,prod_company,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,high_prod,director_gender_1.0,director_gender_2.0,actor1_gender_1.0,actor1_gender_2.0,actor2_gender_1.0,actor2_gender_2.0,actor3_gender_1.0,actor3_gender_2.0,director_noms,director_wins,prev_yr_gross_per_movie,prod_company_dom_box_office,prod_company_dom_box_office_per_movie,star_power,R_rated,PG_rated,PG13_rated,G_rated
2244,2244,47942.0,When Time Ran Out...,3,1980,59495044.48,James Goldstone,Paul Newman,Jacqueline Bisset,William Holden,en,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'International Cinema', 'id': 89143}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",121.0,2.284384,7.0,22.0,11196931.67,Warner Bros.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,1,0,0,1,2,1,0.0,15272696394,82111270,0,0,0,0,0
2245,2245,33076.0,Wholly Moses,6,1980,0.0,Gary Weis,Dudley Moore,Laraine Newman,James Coco,en,[],[],103.0,9.389486,4.9,10.0,42109453.15,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,1,1,0,0.0,0,0,0,0,0,0,0
2246,2246,15668.0,Xanadu,8,1980,59495044.48,Robert Greenwald,Olivia Newton-John,Gene Kelly,Michael Beck,en,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",96.0,3.782547,5.2,62.0,66847427.2,Universal Pictures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,5,1,0.0,14174036096,80079299,0,0,0,0,0
2247,2247,19429.0,Absence of Malice,12,1981,32359020.9,Sydney Pollack,Paul Newman,Sally Field,Bob Balaban,en,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",116.0,3.21594,6.8,42.0,109796754.71,Columbia Pictures Corporation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,1,0,0,1,63,26,17074534.1615,0,0,0,0,0,0,0
2248,2248,140413.0,All Night Long,3,1981,0.0,Jean Claude Tramont,Gene Hackman,Barbra Streisand,Diane Ladd,en,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",87.0,0.708186,7.3,3.0,26965850.75,Universal Pictures,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,17074534.1615,14174036096,80079299,80,0,0,0,0
2249,2249,21294.0,The Amateur,12,1981,26965850.75,Charles Jarrott,John Savage,Christopher Plummer,Marthe Keller,en,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",112.0,1.701134,5.0,1.0,18585128.6,none,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,1,0,1,1,0,3,3,17074534.1615,0,0,0,0,0,0,0
2250,2250,11644.0,Blow Out,7,1981,48538531.34,Brian De Palma,John Travolta,Nancy Allen,John Lithgow,en,"[{'name': 'Cinema 77', 'id': 1819}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",108.0,7.536295,7.3,243.0,32359020.9,Cinema 77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,1,1,0,0,1,32,10,17074534.1615,0,0,188,0,0,0,0
2251,2251,53922.0,Carbon Copy,9,1981,0.0,Michael Schultz,Denzel Washington,George Segal,Susan Saint James,en,[],[],92.0,3.858572,5.8,12.0,25797131.9,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,0,6,4,17074534.1615,0,0,0,0,0,0,0
2252,2252,26560.0,Continental Divide,9,1981,0.0,Michael Apted,John Belushi,Blair Brown,Allen Garfield,en,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",103.0,2.931013,5.5,28.0,42008041.38,Universal Pictures,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,1,38,21,17074534.1615,14174036096,80079299,169,0,1,0,0
2253,2253,24274.0,Dead & Buried,5,1981,8089755.22,Gary Sherman,James Farentino,Melody Anderson,Jack Albertson,en,"[{'name': 'Barclays Mercantile Industrial Finance', 'id': 553}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",94.0,3.891243,6.1,55.0,582910.01,Barclays Mercantile Industrial Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,17074534.1615,0,0,0,0,1,0,0
2254,2254,19114.0,Endless Love,7,1981,0.0,Franco Zeffirelli,Brooke Shields,Martin Hewitt,Shirley Knight,en,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",116.0,5.786435,5.0,34.0,87619259.74,Universal Pictures,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,1,0,33,19,17074534.1615,14174036096,80079299,0,1,0,0,0
2255,2255,24740.0,The Entity,9,1982,0.0,Sidney J. Furie,Barbara Hershey,Ron Silver,David Labiosa,en,"[{'name': 'American Cinema Productions', 'id': 4112}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",125.0,6.302682,6.3,111.0,33726315.89,American Cinema Productions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,1,0,1,8,3,17144508.6705,0,0,0,1,0,0,0
2256,2256,10863.0,Eye of the Needle,7,1981,0.0,Richard Marquand,Donald Sutherland,Kate Nelligan,Stephen MacKenna,en,"[{'name': 'Kings Road Entertainment', 'id': 4255}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",112.0,9.698848,6.4,49.0,48538531.34,Kings Road Entertainment,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,1,1,0,0,1,5,2,17074534.1615,0,0,81,0,0,0,0
2257,2257,11646.0,Gallipoli,8,1981,8089755.22,Peter Weir,Mel Gibson,Mark Lee,Bill Kerr,en,"[{'name': 'The Australian Film Commission', 'id': 5186}, {'name': 'R & R Films', 'id': 8815}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",112.0,7.44658,7.1,111.0,31657908.78,The Australian Film Commission,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,1,0,1,84,33,17074534.1615,0,0,0,0,0,0,0
2258,2258,16124.0,Goodbye Pork Pie,2,1981,808975.52,Geoff Murphy,Tony Barry,Kelly Johnson,Claire Oberman,en,"[{'name': 'New Zealand Film Commission', 'id': 294}, {'name': 'A.M.A. Film', 'id': 17087}, {'name': 'Pork Pie Productions', 'id': 94198}, {'name': 'New Zealand United', 'id': 94199}, {'name': 'New Zealand Railways', 'id': 94200}, {'name': 'New Zealand Motor Corporation', 'id': 94201}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",105.0,1.023164,8.5,4.0,3775219.1,New Zealand Film Commission,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,0,3,2,17074534.1615,0,0,0,0,0,0,0
2259,2259,42149.0,The Hand,4,1981,17527802.99,Oliver Stone,Michael Caine,Andrea Marcovicci,Annie McEnroe,en,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Orion Pictures Corporation', 'id': 14150}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",104.0,2.12989,5.7,27.0,1528251.84,Warner Bros.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,1,0,1,0,97,55,17074534.1615,15272696394,82111270,91,0,0,0,0
2260,2260,73247.0,Heartbeeps,12,1981,26965850.75,Allan Arkush,Andy Kaufman,Bernadette Peters,Randy Quaid,en,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",79.0,1.08281,3.8,6.0,5810321.07,Universal Pictures,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,0,0,1,11,2,17074534.1615,14174036096,80079299,0,0,0,0,0
2261,2261,38665.0,The Legend of the Lone Ranger,8,1981,48538531.34,William A. Fraker,Christopher Lloyd,Matt Clark,Juanin Clay,en,"[{'name': 'ITC Entertainment', 'id': 1584}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",98.0,1.38292,3.7,14.0,7943061.0,ITC Entertainment,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,1,1,0,11,3,17074534.1615,0,0,0,0,0,0,0
2262,2262,19507.0,Neighbors,12,1981,22920973.13,John G. Avildsen,John Belushi,Kathryn Walker,Cathy Moriarty,en,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",94.0,3.950775,5.2,33.0,80671597.29,Columbia Pictures,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,0,11,5,17074534.1615,14250727779,85847757,169,0,0,0,0
