,prod_company,num_movies,dom_box_office,int_box_office
196,Junction Entertainment,2,392966503,788649214
197,Morgan Creek Productions,8,392132699,695148992
198,Broken Road,9,385357166,886185192
199,Birnbaum/Barber,4,382460721,834604214
200,Contrafilm,9,381207362,897770852
201,Stage 6 Films,17,379477458,657593761
202,Trigger Street Productions,9,374332570,996333807
203,Radiant Productions,3,374137787,900293475
204,Tyler Perry Studios,8,374063798,375972708
205,Leverage,9,370689049,543027464
206,Fuji Television Network,8,369155423,1121918756
207,Miramax Films,12,365688790,917488377
208,Douglas Wick,3,365096320,810892666
209,Tapestry Films,6,364733982,476065196
210,Olive Bridge Entertainment,5,363045879,723145508
211,Eddie Murphy Production,2,362912779,605100000
212,China Film Company,8,359057964,2752069961
213,Grive Productions,4,358439941,728122792
214,K/O Paper Products,5,357337072,988083819
215,Di Novi Pictures,9,357317693,646516216
216,Atomic Monster,6,356104857,1022493964
217,Brownstone,3,354194853,588402745
218,Seed Productions,2,353417389,800154940
219,Initial Entertainment Group,7,353069902,760022235
220,John Calley,2,350911984,1258696305
221,22nd & Indiana ,1,350126372,547326372
222,BBC Films,60,350022234,892289387
223,Kerner Entertainment Company,5,341637932,1253557599
224,IM Global,38,337209499,692027168
225,Jerry Weintraub,4,336339543,831295124
226,Radar Pictures,14,334915235,948268771
227,Aardman Animations,7,332685255,1029771891
228,Rainforest Films,4,332132174,388140692
229,Tall Trees,4,332071276,651115950
230,Lawrence Gordon,5,330718511,657603210
231,Cannell Studios,2,330167004,534146305
232,Steve Tisch Productions,1,330151138,679850637
233,Beaglepug,3,327794414,883694414
234,Entertainment One,36,327786020,690050611
235,KatzSmith Productions,1,327481748,697459228
236,Bonnie Arnold,2,326111159,791589066
237,Jack Giarraputo,2,324971441,418832929
238,Apatow Productions,6,322796108,425538482
239,Wild West Picture Show,5,321078245,542486905
240,Alcor Films,9,319629315,481129315
241,Callahan Filmworks,3,318245928,488105181
242,Duncan Henderson Productions,1,317575550,974755371
243,Warner Animation Group,5,317066273,580509632
244,Arthur Sarkissian,3,315706339,642669528
245,Guber-Peters,2,314938879,475098879
246,Roger Birnbaum,4,311439538,532012588
247,Wonderland Sound and Vision,8,308131231,696489524
248,Tig Productions,2,306154562,835100000
249,B23,1,304360277,1110526981
250,Ghost House Pictures,4,301242218,539932245
251,American Zoetrope,12,300261206,655933138
