,director_gender_1.0,director_gender_2.0,actor1_gender_1.0,actor1_gender_2.0,actor2_gender_1.0,actor2_gender_2.0,actor3_gender_1.0,actor3_gender_2.0,director_noms,director_wins,prod_company_dom_box_office,prod_company_dom_box_office_per_movie,star_power
339,0,1,0,1,1,0,1,0,5,0,14174036096,80079299,0
340,0,0,1,0,1,0,1,0,2,2,1682457870,35796975,0
341,0,1,0,1,0,1,0,1,33,15,9417295007,91430048,164
342,0,1,0,1,0,1,0,1,52,24,0,0,0
343,0,1,0,1,0,0,0,1,8,6,5264430500,39286794,199
344,0,0,0,1,0,1,1,0,73,37,0,0,0
345,0,1,0,1,0,1,0,1,85,47,9417295007,91430048,0
346,1,0,1,0,1,0,0,0,3,1,0,0,0
347,1,0,1,0,1,0,0,1,31,11,0,0,0
348,0,1,1,0,0,1,1,0,8,1,9417295007,91430048,0
349,0,1,0,1,0,1,0,1,55,17,4483364687,60586009,180
350,0,1,0,1,0,1,0,1,23,9,14174036096,80079299,0
351,0,1,0,1,0,1,1,0,5,0,365688790,30474065,0
352,0,1,0,1,0,1,1,0,22,13,3174157864,62238389,0
353,0,1,0,1,0,0,0,1,24,7,0,0,0
354,0,1,0,0,0,1,1,0,43,22,9417295007,91430048,0
355,0,1,0,1,1,0,1,0,56,27,9417295007,91430048,0
356,0,1,0,1,1,0,0,1,56,27,9417295007,91430048,0
357,0,0,0,1,1,0,0,1,24,12,0,0,0
358,0,1,0,1,1,0,0,1,56,27,3174157864,62238389,0
359,0,0,0,1,1,0,0,1,93,45,275408053,39344007,0
360,0,0,1,0,0,1,0,1,93,45,0,0,0
361,0,1,0,1,0,0,0,1,22,13,14174036096,80079299,0
362,0,0,0,1,1,0,0,1,17,5,15272696394,82111270,0
363,0,1,0,1,1,0,1,0,94,39,15272696394,82111270,0
364,0,0,0,0,0,0,0,0,37,14,15272696394,82111270,0
365,0,1,0,1,0,0,0,1,60,19,9417295007,91430048,0
366,0,0,1,0,0,1,0,0,6,2,0,0,0
367,0,0,1,0,0,1,1,0,6,2,0,0,0
368,0,0,0,1,1,0,0,0,93,45,9417295007,91430048,0
369,0,1,0,1,0,1,1,0,37,25,0,0,0
370,0,1,0,1,0,1,0,1,83,38,0,0,0
371,0,0,1,0,1,0,1,0,37,14,3174157864,62238389,0
372,0,1,0,1,1,0,0,1,56,27,0,0,0
373,0,1,0,1,1,0,0,1,56,27,0,0,0
374,0,1,1,0,0,1,0,1,56,27,0,0,0
375,0,1,0,1,1,0,1,0,56,27,9417295007,91430048,0
376,0,1,1,0,0,1,1,0,9,4,3174157864,62238389,0
377,0,0,0,1,1,0,0,1,17,5,15272696394,82111270,0
378,0,1,1,0,0,1,1,0,24,3,1593531455,54949360,0
379,0,1,0,1,1,0,0,1,2,1,0,0,0
380,0,1,1,0,0,1,0,0,0,0,15272696394,82111270,0
381,0,1,0,1,1,0,1,0,5,1,3174157864,62238389,0
382,0,1,0,1,0,1,0,1,1,1,0,0,0
383,0,0,0,1,1,0,0,1,24,12,0,0,0
384,0,0,0,1,1,0,0,1,24,12,14250727779,85847757,0
385,0,1,0,1,1,0,0,1,18,13,0,0,0
386,0,1,0,1,1,0,0,1,94,39,275408053,39344007,0
387,0,1,1,0,0,1,0,1,41,10,0,0,0
388,0,0,0,1,1,0,0,1,7,2,4483364687,60586009,0
389,0,0,0,1,1,0,0,1,0,0,0,0,0
390,0,1,0,1,1,0,0,1,7,2,14250727779,85847757,0
391,0,0,0,1,0,1,0,1,77,37,168806385,84403192,315
392,1,0,0,1,1,0,0,1,1,1,0,0,0
393,0,1,0,1,1,0,0,1,28,14,4483364687,60586009,296
394,0,1,1,0,1,0,1,0,16,6,4483364687,60586009,0
395,0,1,0,1,0,1,1,0,38,21,14250727779,85847757,265
396,0,1,0,1,0,1,0,1,1,0,0,0,149
397,0,1,0,1,0,1,1,0,6,1,2558688676,59504387,187
398,0,1,1,0,0,1,0,1,6,6,0,0,0
399,0,0,0,1,0,1,0,1,12,3,0,0,0
400,0,1,0,1,0,1,0,1,2,0,0,0,0
401,0,1,0,1,1,0,0,1,8,2,13180557629,117683550,97
402,0,1,1,0,1,0,0,0,9,3,0,0,0
403,0,1,0,1,0,1,0,1,6,5,0,0,0
404,0,0,0,1,0,1,0,1,7,2,15272696394,82111270,383
405,0,1,1,0,0,1,0,1,0,0,0,0,0
406,0,1,0,1,0,1,0,1,1,1,0,0,0
407,0,1,1,0,0,1,0,1,0,0,0,0,0
408,0,1,1,0,1,0,0,1,11,5,0,0,0
409,0,1,0,0,0,1,1,0,0,0,0,0,81
410,0,1,1,0,0,1,1,0,59,34,1593531455,54949360,0
411,0,1,0,1,0,1,0,1,10,6,1593531455,54949360,75
412,0,0,0,1,0,1,1,0,2,1,4483364687,60586009,0
413,0,1,0,1,1,0,1,0,165,70,0,0,0
414,0,1,0,1,0,1,0,1,204,77,1593531455,54949360,382
415,0,1,0,1,1,0,1,0,6,3,0,0,223
416,0,1,0,1,1,0,1,0,56,24,0,0,161
417,0,0,1,0,0,1,0,0,6,4,0,0,0
418,0,1,1,0,0,1,1,0,15,3,4483364687,60586009,0
419,0,1,0,1,0,1,0,1,14,4,0,0,402
420,0,1,0,1,0,1,0,1,98,43,14250727779,85847757,0
421,0,1,0,1,0,1,1,0,3,1,720564052,80062672,70
422,0,1,1,0,0,1,0,1,79,23,0,0,0
423,0,1,0,1,1,0,0,1,72,31,0,0,0
424,0,1,0,1,0,1,0,1,9,2,365688790,30474065,0
425,0,1,0,1,0,1,0,1,66,29,0,0,249
426,0,1,0,1,0,0,0,0,8,3,9417295007,91430048,0
427,0,1,0,1,1,0,0,1,298,124,0,0,0
428,0,1,0,1,1,0,0,0,298,124,275408053,39344007,0
429,0,1,0,0,1,0,0,1,13,6,3174157864,62238389,0
430,0,1,0,1,0,0,0,1,8,3,0,0,0
431,0,1,1,0,0,1,0,1,43,22,3174157864,62238389,0
432,0,1,0,1,0,1,1,0,43,22,15272696394,82111270,0
433,0,1,0,1,1,0,0,1,26,11,0,0,0
434,0,1,0,1,1,0,0,0,56,27,15272696394,82111270,0
435,0,1,1,0,0,1,0,1,22,7,0,0,128
